""
"一般信用銘柄一覧"
""
"表示対象"
"絞込み条件: 指定なし/全件"
"並び順: コード/昇順"
""
"コード","銘柄名","売建受注枠","一人あたり建玉上限数","信用区分（HYPER）","信用区分（日計り）","信用区分（短期）","信用区分（無期限）","逆日歩（円）","逆日歩（日）"
"1321","日経２２５連動型上場投資信託","余裕あり","5678","","◎","","","満額","-"
"1330","上場インデックスファンド２２５","余裕あり","282","","◎","","","満額","-"
"1333","マルハニチロ","受付不可","10","","","◎","","5.00","1"
"1357","ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信","余裕あり","25673","","◎","","","-","-"
"1376","カネコ種苗","残りわずか","100","◎","","","","-","-"
"1377","サカタのタネ","余裕あり","10","","","◎","","-","-"
"1379","ホクト","受付不可","10","","","◎","","零銭","1"
"1381","アクシーズ","残りわずか","42","◎","","","","-","-"
"1383","ベルグアース","残りわずか","108","◎","","","","-","-"
"1384","ホクリヨウ","余裕あり","110","◎","","","","-","-"
"1401","エムビーエス","残りわずか","58","◎","","","","-","-"
"1408","サムシングホールディングス","残りわずか","213","◎","","","","-","-"
"1417","ミライト・ホールディングス","受付不可","10","","","◎","","2.35","1"
"1430","ファーストコーポレーション","残りわずか","480","◎","","","","-","-"
"1433","ベステラ","残りわずか","164","◎","","","","-","-"
"1435","インベスターズクラウド","余裕あり","8","◎","","","","-","-"
"1568","ＴＯＰＩＸブル２倍上場投信","余裕あり","400","","◎","","","-","-"
"1570","ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型上場投信","余裕あり","7812","","◎","","","-","-"
"1579","日経平均ブル２倍上場投信","残りわずか","745","","◎","","","-","-"
"1605","国際石油開発帝石","余裕あり","407","","◎","","","-","-"
"1711","省電舎","残りわずか","192","◎","","","","-","-"
"1717","明豊ファシリティワークス","残りわずか","290","◎","","","","-","-"
"1718","美樹工業","余裕あり","30","◎","","","","-","-"
