3月7日現在,,,,
銘柄コード,銘柄名,上場グループ種別,売買単位,貸借区分
1301,極洋,市場第一部（内国株）,1000,貸借銘柄
1305,ＥＴＦ・ＴＰＸ,内国投信受益証券,10,貸借銘柄
1306,ＴＯＰＩＸ投,内国投信受益証券,10,貸借銘柄
1308,上場ＴＰＸ,内国投信受益証券,100,貸借銘柄
1309,上証５０連動投信,内国投信受益証券,1,貸借銘柄
1310,ＥＴＦ・コア３０,内国投信受益証券,10,貸借銘柄
1311,ＴＯＰＩＸ３０,内国投信受益証券,10,貸借銘柄
1312,ＲＮ小型コア投信,内国投信受益証券,1,貸借銘柄
1313,ＫＯＤＥＸ２００,外国投信受益証券,10,貸借銘柄
1314,上場新興,内国投信受益証券,100,貸借銘柄
1319,Ｆ－３００投信,内国投信受益証券,1000,貸借銘柄
1320,ＥＴＦ・２２５,内国投信受益証券,1,貸借銘柄
1321,２２５投信,内国投信受益証券,1,貸借銘柄
1322,上場パンタ,内国投信受益証券,10,貸借銘柄
1323,南ア４０連動投信,内国投信受益証券,100,貸借銘柄
1324,ＲＴＳ連動型投信,内国投信受益証券,100,貸借銘柄
1325,ボベスパ,内国投信受益証券,100,貸借銘柄
1326,ＳＰＤＲゴール,外国投信受益証券,1,貸借銘柄
1327,ＥＡＳＹ商品,外国投信受益証券,1,貸借銘柄
1328,金連動投信,内国投信受益証券,10,貸借銘柄
1329,ｉＳ２２５,内国投信受益証券,1,貸借銘柄
1330,上場２２５,内国投信受益証券,10,貸借銘柄
1332,日水,市場第一部（内国株）,100,貸借銘柄
1333,マルハニチロ,市場第一部（内国株）,100,貸借銘柄
1343,ＲＥＩＴ－ＥＴＦ,内国投信受益証券,10,貸借銘柄
1344,ＭＸＳコア３０,内国投信受益証券,10,貸借銘柄
1345,上場Ｊリート,内国投信受益証券,100,貸借銘柄
1346,ＭＸＳ２２５,内国投信受益証券,1,貸借銘柄
1347,上場グリチ,内国投信受益証券,10,貸借銘柄
1348,ＭＸＳトピクス,内国投信受益証券,10,貸借銘柄
1349,アジア債券,外国投信受益証券,1,貸借銘柄
1352,ホウスイ,市場第一部（内国株）,1000,制度信用銘柄
1356,ＴＰダブルインバース,内国投信受益証券,10,貸借銘柄
1357,日経ダブルインバース,内国投信受益証券,1,貸借銘柄
1358,上場日経２倍,内国投信受益証券,1,貸借銘柄
1360,ダブルインバース日経,内国投信受益証券,10,貸借銘柄
1361,ｉＳ米国ＨＹ債,外国投信受益証券,1,貸借銘柄
1362,ｉＳ新興国債券,外国投信受益証券,1,貸借銘柄
1363,ｉＳ米国債,外国投信受益証券,1,貸借銘柄
1364,ｉＳＪＰＸ日経４００,内国投信受益証券,1,貸借銘柄
1365,大和２２５ダブル,内国投信受益証券,1,貸借銘柄
1366,大和２２５ダブルベア,内国投信受益証券,1,貸借銘柄
1367,大和ＴＰＸダブル,内国投信受益証券,1,貸借銘柄
1368,大和ＴＰＸダブルベア,内国投信受益証券,1,貸借銘柄
1369,ＤＩＡＭ・日経２２５,内国投信受益証券,1,貸借銘柄
1376,カネコ種苗,市場第二部（内国株）,100,制度信用銘柄
1377,サカタのタネ,市場第一部（内国株）,100,貸借銘柄
1379,ホクト,市場第一部（内国株）,100,貸借銘柄
1380,Ｊ－秋川牧園,JASDAQスタンダード（内国株式）,1000,制度信用銘柄
1381,Ｊ－アクシーズ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
1382,Ｊ－ホーブ,JASDAQスタンダード（内国株式）,100,制度信用銘柄
1383,Ｊ－ベルグアース,JASDAQスタンダード（内国株式）,100,制度信用銘柄
1384,ホクリヨウ,市場第一部（内国株）,100,制度信用銘柄
1385,ＵＢＳユーロ圏株５０,外国投信受益証券,1,貸借銘柄
1386,ＵＢＳ欧州株,外国投信受益証券,1,貸借銘柄
1387,ＵＢＳ欧州通貨圏株,外国投信受益証券,1,貸借銘柄
1388,ＵＢＳ欧州通貨圏小型,外国投信受益証券,1,貸借銘柄
