▼一般信用（長期・売短）売建可能銘柄一覧
種類,融資銘柄,銘柄コード,銘柄名称
売短,,1305,ダイワ上場投信－トピックス
長期,,1306,ＴＯＰＩＸ連動型上場投資信託
売短,,1308,上場インデックスファンドＴＯＰＩＸ
売短,,1309,上海株式指数・上証５０連動型上場投資信託
売短,,1310,ダイワ上場投信－トピックス・コア３０
売短,,1311,ＴＯＰＩＸ　Ｃｏｒｅ　３０　連動型上場投資信託
売短,,1320,ダイワ上場投信－日経２２５
長期,,1321,日経２２５連動型上場投資信託
売短,,1322,上場インデックスファンド中国Ａ株（パンダ）ＣＳＩ３００
売短,,1324,ＮＥＸＴ　ＦＵＮＤＳ　ロシア株式指数・ＲＴＳ連動型上場投信
売短,,1330,上場インデックスファンド２２５
長期,,1332,日本水産
長期,,1333,マルハニチロ
売短,,1343,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ指数連動型上場投信
売短,,1345,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型
売短,,1346,ＭＡＸＩＳ　日経２２５上場投信
売短,,1348,ＭＡＸＩＳ　トピックス上場投信
売短,,1357,NEXT FUNDS 日経平均ダブルインバース・インデックス連動型上場投信
売短,,1358,上場インデックスファンド日経レバレッジ指数
長期,,1364,ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ
売短,,1365,ダイワ上場投信－日経平均レバレッジ・インデックス
売短,,1366,ダイワ上場投信－日経平均ダブルインバース・インデックス
売短,,1367,ダイワ上場投信－ＴＯＰＩＸレバレッジ（２倍）指数
長期,,1377,サカタのタネ
長期,,1379,ホクト
売短,○,1400,ルーデン・ホールディングス
長期,,1414,ショーボンドホールディングス
長期,,1417,ミライト・ホールディングス
売短,,1419,タマホーム
長期,,1420,サンヨーホームズ
売短,,1429,日本アクア
売短,,1434,ＪＥＳＣＯホールディングス
売短,,1458,楽天ＥＴＦ－日経レバレッジ指数連動型
売短,,1464,ダイワ上場投信－ＪＰＸ日経４００レバレッジ・インデックス
売短,,1475,ｉシェアーズ　ＴＯＰＩＸ　ＥＴＦ
売短,,1476,ｉシェアーズ　Ｊリート　ＥＴＦ
売短,,1477,ｉシェアーズ　ＭＳＣＩ　日本株最小分散　ＥＴＦ
売短,,1478,ｉシェアーズ　ＭＳＣＩ　ジャパン高配当利回り　ＥＴＦ
長期,,1515,日鉄鉱業
長期,,1518,三井松島産業
売短,,1540,純金上場信託（現物国内保管型）
売短,,1543,純パラジウム上場信託（現物国内保管型）
売短,,1545,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００連動型上場投信
売短,,1546,ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株30種平均株価連動型上場投信
売短,,1547,上場インデックスファンド米国株式（Ｓ＆Ｐ５００）
売短,,1548,上場インデックスファンド中国Ｈ株（ハンセン中国企業株）
売短,,1549,上場インデックスファンドＮｉｆｔｙ５０先物（インド株式）
売短,,1550,ＭＡＸＩＳ　海外株式（ＭＳＣＩコクサイ）上場投信
売短,,1551,ＪＡＳＤＡＱ－ＴＯＰ２０上場投信
売短,,1552,国際のＥＴＦ　ＶＩＸ短期先物指数
売短,,1553,ＭＡＸＩＳ　Ｓ＆Ｐ東海上場投信
売短,,1554,上場インデックスファンド世界株式（ＭＳＣＩ ＡＣＷＩ）除く日本
売短,,1555,上場インデックスファンド豪州リート（Ｓ＆Ｐ/ＡＳＸ２００　Ａ-ＲＥＩＴ）
売短,,1559,ＮＥＸＴ　ＦＵＮＤＳ　タイ株式ＳＥＴ５０指数連動型上場投信
売短,,1560,ＮＥＸＴ　ＦＵＮＤＳ　ＦＴＳＥブルサ・マレーシアＫＬＣＩ連動型上場投信
売短,,1563,マザーズ・コア上場投信
売短,,1566,上場インデックスファンド新興国債券（バークレイズＬｏｃａｌ　ＥＭ国債）
売短,,1570,ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型上場投信
売短,,1571,ＮＥＸＴ　ＦＵＮＤＳ　日経平均インバース・インデックス連動型上場投信
売短,,1577,ＮＥＸＴ　ＦＵＮＤＳ　野村日本株高配当７０連動型上場投信
売短,,1592,上場インデックスファンドＪＰＸ日経インデックス４００
売短,,1593,ＭＡＸＩＳ　ＪＰＸ日経インデックス４００上場投信
売短,,1597,ＭＡＸＩＳ　Ｊリート上場投信
長期,,1605,国際石油開発帝石
売短,,1615,東証銀行業株価指数連動型上場投資信託
売短,,1618,ＮＥＸＴ　ＦＵＮＤＳ　エネルギー資源（ＴＯＰＩＸ－１７）上場投信
売短,,1619,ＮＥＸＴ　ＦＵＮＤＳ　建設・資材（ＴＯＰＩＸ－１７）上場投信
売短,,1621,ＮＥＸＴ　ＦＵＮＤＳ　医薬品（ＴＯＰＩＸ－１７）上場投信
売短,,1626,ＮＥＸＴ　ＦＵＮＤＳ　情報通信･サービスその他（ＴＯＰＩＸ-17）上場投信
売短,,1627,ＮＥＸＴ　ＦＵＮＤＳ　電力・ガス（ＴＯＰＩＸ－１７）上場投信
売短,,1631,ＮＥＸＴ　ＦＵＮＤＳ　銀行（ＴＯＰＩＸ－１７）上場投信
売短,,1632,ＮＥＸＴ　ＦＵＮＤＳ　金融（除く銀行）（ＴＯＰＩＸ－１７）上場投信
長期,,1662,石油資源開発
長期,,1663,Ｋ＆Ｏエナジーグループ
売短,,1671,ＷＴＩ原油価格連動型上場投信
売短,,1678,NEXT FUNDS インド株式指数・CNX Nifty連動型上場投信
売短,,1680,上場インデックスファンド海外先進国株式（ＭＳＣＩ－ＫＯＫＵＳＡＩ）
売短,,1681,上場インデックスファンド海外新興国株式（ＭＳＣＩエマージング）
売短,,1682,ＮＥＸＴ　ＦＵＮＤＳ　日経・東商取白金指数連動型上場投信
売短,,1698,上場インデックスファンド日本高配当（東証配当フォーカス１００）
売短,,1699,ＮＥＸＴ　ＦＵＮＤＳ　ＮＯＭＵＲＡ原油インデックス連動型上場投信
売短,,1716,第一カッター興業
長期,,1719,安藤・間
長期,,1720,東急建設
長期,,1721,コムシスホールディングス
売短,○,1758,太洋基礎工業
長期,,1762,高松コンストラクショングループ
長期,,1766,東建コーポレーション
長期,,1801,大成建設
長期,,1802,大林組
長期,,1803,清水建設
長期,,1808,長谷工コーポレーション
長期,,1810,松井建設
長期,,1812,鹿島建設
長期,,1820,西松建設
長期,,1821,三井住友建設
長期,,1822,大豊建設
長期,,1824,前田建設工業
長期,,1826,佐田建設
長期,,1827,ナカノフドー建設
長期,,1833,奥村組
長期,,1835,東鉄工業
売短,○,1844,大盛工業
長期,○,1847,イチケン
長期,,1860,戸田建設
長期,,1861,熊谷組
長期,○,1865,青木あすなろ建設
長期,,1866,北野建設
長期,,1867,植木組
長期,,1868,三井ホーム
長期,,1870,矢作建設工業
売短,○,1873,日本ハウスホールディングス
長期,,1878,大東建託
長期,,1879,新日本建設
長期,,1881,ＮＩＰＰＯ
長期,,1882,東亜道路工業
長期,,1883,前田道路
長期,,1884,日本道路
長期,,1885,東亜建設工業
長期,,1890,東洋建設
長期,,1893,五洋建設
売短,,1896,大林道路
長期,○,1898,世紀東急工業
長期,,1899,福田組
長期,○,1909,日本ドライケミカル
長期,,1911,住友林業
長期,,1914,日本基礎技術
売短,,1919,ヤマダ・エスバイエルホーム
長期,,1924,パナホーム
長期,,1925,大和ハウス工業
長期,,1926,ライト工業
長期,,1928,積水ハウス
長期,,1929,日特建設
長期,,1930,北陸電気工事
長期,,1934,ユアテック
長期,,1937,西部電気工業
長期,,1939,四電工
長期,,1941,中電工
長期,,1942,関電工
長期,,1944,きんでん
長期,,1945,東京エネシス
長期,,1946,トーエネック
長期,,1949,住友電設
長期,,1950,日本電設工業
長期,,1951,協和エクシオ
長期,,1954,日本工営
長期,,1956,ＮＤＳ
長期,,1959,九電工
長期,,1961,三機工業
長期,,1963,日揮
長期,,1964,中外炉工業
長期,,1967,ヤマト
長期,,1968,太平電業
長期,,1969,高砂熱学工業
長期,,1972,三晃金属工業
長期,,1973,ＮＥＣネッツエスアイ
長期,,1975,朝日工業社
長期,,1976,明星工業
長期,,1979,大氣社
長期,,1980,ダイダン
長期,,1982,日比谷総合設備
長期,,1983,東芝プラントシステム
長期,,2001,日本製粉
長期,,2002,日清製粉グループ本社
長期,,2004,昭和産業
長期,,2009,鳥越製粉
長期,,2053,中部飼料
長期,,2060,フィード・ワン
長期,○,2107,東洋精糖
長期,,2108,日本甜菜製糖
長期,,2109,三井製糖
長期,○,2120,ネクスト
長期,,2121,ミクシィ
売短,○,2124,ジェイエイシーリクルートメント
長期,,2127,日本Ｍ＆Ａセンター
売短,,2128,ノバレーゼ
長期,,2131,アコーディア・ゴルフ
売短,○,2159,フルスピード
長期,,2174,ＧＣＡサヴィアン
長期,○,2175,エス・エム・エス
売短,○,2178,トライステージ
長期,,2181,テンプホールディングス
売短,○,2186,ソーバル
売短,,2191,テラ
売短,,2193,クックパッド
売短,,2198,アイ・ケイ・ケイ
