約定日	銘柄	コード	市場	取引	約定数量	約定単価	手数料/諸経費等	税額	受渡日	受渡金額/決済損益	特例	外貨建て金額	為替レート
2008/7/1	ＴＯＰＩＸ連動型上場投資信託	1306		株式現物買						528800			
2008/7/1	キーコーヒー	2594		株式現物買						156250			
2008/7/1	日本マクドナルドホールディングス	2702		株式現物買						489450			
2008/7/1	大戸屋ホールディングス 	2705		株式現物買						94900			
2008/7/1	ドワンゴ	3715		株式現物買						215950			
2008/7/1	ドワンゴ	3715		株式現物買						192750			
2008/7/1	ドワンゴ	3715		株式現物買						200250			
2008/7/1	さくらインターネット	3778		株式現物買						181750			
2008/7/1	東プレ	5975		株式現物買						171250			
2008/7/1	東芝	6502		株式現物買						570800			
2008/7/1	トヨタ自動車	7203		株式現物買						459450			
2008/7/1	バンダイナムコホールディングス	7832		株式現物買						132250			
2008/7/1	ＴＯＰＩＸ連動型上場投資信託	1306		株式現物売						365550			
2008/7/1	ＴＯＰＩＸ連動型上場投資信託	1306		株式現物売						109550			
2008/7/1	ドワンゴ	3715		株式現物売						176250			
2008/7/1	ドワンゴ	3715		株式現物売						169750			
2008/7/1	ドワンゴ	3715		株式現物売						175650			
2008/7/1	さくらインターネット	3778		株式現物売						142250			
2008/7/1	東プレ	5975		株式現物売						156950			
2008/7/1	東芝	6502		株式現物売						514200			
2008/7/1	トヨタ自動車	7203		株式現物売						442550			
2008/7/1	バンダイナムコホールディングス	7832		株式現物売						114250			
2008/10/1	ＴＯＰＩＸ連動型上場投資信託	1306		株式現物買						292610			
2008/10/1	ＴＯＰＩＸ連動型上場投資信託	1306		株式現物買						294810			
2008/10/1	ＴＯＰＩＸ連動型上場投資信託	1306		株式現物買						301450			
2008/10/1	ＴＯＰＩＸ連動型上場投資信託	1306		株式現物買						297250			
2008/10/1	ＴＯＰＩＸ連動型上場投資信託	1306		株式現物買						294930			
2008/10/1	ＴＯＰＩＸ連動型上場投資信託	1306		株式現物買						299970			
