約定日	銘柄	銘柄コード	市場	取引	期限	預り	課税	約定数量	約定単価	手数料/諸経費等	税額	受渡日	受渡金額/決済損益
2011/3/1	ニプロ	8086		株式現物買									1547600
2011/3/1	スクウェア・エニックス・ホールディングス	9684		株式現物買									1434800
2011/3/1	上場インデックスファンド海外新興国株式	1681		株式現物買									834060
2011/3/1	アドバンスト・メディア	3773		株式現物買									487800
2011/3/1	ニトリホールディングス	9843		株式現物買									705000
2011/3/1	任天堂	7974		株式現物買									2449000
2011/3/1	コカ・コーラ　セントラル　ジャパン	2580		株式現物売									10000
2011/3/4	ＮＥＸＴ　ＦＵＮＤＳインド株式指数Ｓ＆Ｐ　ＣＮＸ　Ｎｉｆｔｙ	1678	東証	株式現物買	--	特定	--	10000	99	609	30	2011/3/9	990639
2011/3/15	ＴＯＰＩＸ連動型上場投資信託	1306	東証	株式現物買	--	特定	--	500	782	341	17	2011/3/18	391358
2011/3/15	ドワンゴ	3715	東証	株式現物買	--	特定	--	9	152200	1038	52	2011/3/18	1370890
2011/3/15	ドワンゴ	3715	東証	株式現物買	--	特定	--	1	151900	114	5	2011/3/18	152019
2011/3/15	アドバンスト・メディア	3773	東証	株式現物買	--	特定	--	10	33700	341	17	2011/3/18	337358
2011/3/16	ジャパン・ティッシュ・エンジニアリング	7774	JASDAQ	株式現物買	--	特定	--	2	51900	121	5	2011/3/22	103926
2011/3/16	ジャパン・ティッシュ・エンジニアリング	7774	JASDAQ	株式現物買	--	特定	--	8	52000	488	25	2011/3/22	416513
2011/3/23	東京電力	9501	東証	株式現物買	--	特定	--	300	1060	341	17	2011/3/28	318358
2011/3/30	東京電力	9501	東証	株式現物売	--	特定	申告	200	516	185	9	2011/4/4	103006
2011/4/1	東京電力	9501	東証	株式現物買	--	特定	--	300	404	185	9	2011/4/6	121394
2011/4/6	ＴＯＰＩＸ連動型上場投資信託	1306	東証	株式現物売	--	特定	申告	500	865	341	17	2011/4/11	432142
2011/4/6	ニプロ	8086	東証	株式現物売	--	特定	申告	500	1640	609	30	2011/4/11	819361
2011/4/11	東京電力	9501	東証	株式現物買	--	特定	--	1000	475	341	17	2011/4/14	475358
2011/4/12	ドワンゴ	3715	東証	株式現物売	--	特定	申告	6	210100	692	36	2011/4/15	1259872
2011/4/12	ドワンゴ	3715	東証	株式現物売	--	特定	申告	2	210500	230	11	2011/4/15	420759
2011/4/12	ドワンゴ	3715	東証	株式現物売	--	特定	申告	1	210600	115	5	2011/4/15	210480
2011/4/12	ドワンゴ	3715	東証	株式現物売	--	特定	申告	1	210300	115	5	2011/4/15	210180
2011/4/12	ジャパン・ティッシュ・エンジニアリング	7774	JASDAQ	株式現物売	--	特定	申告	4	64100	245	13	2011/4/15	256142
2011/4/12	ジャパン・ティッシュ・エンジニアリング	7774	JASDAQ	株式現物売	--	特定	申告	3	64200	182	9	2011/4/15	192409
2011/4/12	ジャパン・ティッシュ・エンジニアリング	7774	JASDAQ	株式現物売	--	特定	申告	3	64000	182	8	2011/4/15	191810
2011/4/12	東京電力	9501	東証	株式現物売	--	特定	申告	8000	460	1152	57	2011/4/15	3678791
2011/4/12	東京電力	9501	東証	株式現物買	--	特定	--	7000	469	1152	57	2011/4/15	3284209
2011/4/13	東京電力	9501	東証	株式現物売	--	特定	申告	400	520	341	17	2011/4/18	207642
2011/4/13	関西電力	9503	東証	株式現物買	--	特定	--	2000	1785	1152	57	2011/4/18	3571209
2011/4/14	さくらインターネット	3778	東証	株式現物買	--	特定	--	7	148000	728	36	2011/4/19	1036764
2011/4/14	日本郵船	9101	東証	株式現物買	--	特定	--	3000	305	609	30	2011/4/19	915639
2011/4/14	関西電力	9503	東証	株式現物売	--	特定	申告	1200	1766	988	49	2011/4/19	2118163
2011/4/14	関西電力	9503	東証	株式現物売	--	特定	申告	200	1767	164	8	2011/4/19	353228
2011/4/15	東京電力	9501	東証	株式現物買	--	特定	--	2000	490	609	30	2011/4/20	980639
2011/5/12	任天堂	7974	大証	株式現物売	--	特定	申告	100	18610	1152	57	2011/5/17	1859791
2011/5/16	東京電力	9501	東証	株式現物売	--	特定	申告	2000	426	609	30	2011/5/19	851361
2011/5/16	関西電力	9503	東証	株式現物売	--	特定	申告	600	1525	609	30	2011/5/19	914361
2011/5/16	スクウェア・エニックス・ホールディングス	9684	東証	株式現物売	--	特定	申告	1000	1314	728	36	2011/5/19	1313236
2011/6/1	ドワンゴ	3715	東証	株式現物買	--	特定	--	11	180300	1152	57	2011/6/6	1984509
2011/6/3	任天堂	7974	大証	株式現物買	--	特定	--	100	18490	1152	57	2011/6/8	1850209
2011/6/8	任天堂	7974	大証	株式現物売	--	特定	申告	100	17360	1152	57	2011/6/13	1734791
2011/6/15	任天堂	7974	大証	株式現物買	--	特定	--	100	16300	1152	57	2011/6/20	1631209
2011/6/23	任天堂	7974	大証	株式現物売	--	特定	申告	100	14740	728	36	2011/6/28	1473236
2011/6/23	ニプロ	8086	東証	株式現物売	--	特定	申告	500	1417	609	30	2011/6/28	707861
2011/7/4	コカ・コーラ　セントラル　ジャパン	2580	東証	株式現物買	--	特定	--	100	1071	85	4	2011/7/7	107189
2011/7/4	コカ・コーラ　セントラル　ジャパン	2580	東証	株式現物買	--	特定	--	100	1073	85	4	2011/7/7	107389
2011/7/4	コカ・コーラ　セントラル　ジャパン	2580	東証	株式現物買	--	特定	--	200	1072	171	9	2011/7/7	214580
2011/7/4	日本マクドナルドホールディングス	2702	JASDAQ	株式現物買	--	特定	--	200	2040	341	17	2011/7/7	408358
2011/7/4	ニプロ	8086	東証	株式現物買	--	特定	--	1000	1494	728	36	2011/7/7	1494764
2011/9/14	上場インデックスファンド海外新興国株式	1681	東証	株式現物売	--	特定	申告	840	930	609	30	2011/9/20	780561
2011/9/14	ドワンゴ	3715	東証	株式現物買	--	特定	--	5	144300	609	30	2011/9/20	722139
2011/11/22	日本郵船	9101	東証	株式現物買	--	特定	--	6000	160	609	30	2011/11/28	960639
2011/11/29	ドワンゴ	3715	東証	株式現物売	--	特定	申告	8	130000	728	36	2011/12/2	1039236
2011/11/29	任天堂	7974	大証	株式現物買	--	特定	--	100	11700	728	36	2011/12/2	1170764
2011/11/29	ニプロ	8086	東証	株式現物売	--	特定	申告	500	620	341	17	2011/12/2	309642
2012/3/15	ドワンゴ	3715	東証	株式現物売	--	特定	申告	5	118100	381	19	2012/3/21	590100
2012/3/15	ドワンゴ	3715	東証	株式現物売	--	特定	申告	3	118000	228	11	2012/3/21	353761
2012/3/16	さくらインターネット	3778	東証	株式現物売	--	特定	申告	300	619	132	6	2012/3/22	185562
2012/3/16	さくらインターネット	3778	東証	株式現物売	--	特定	申告	200	609	87	4	2012/3/22	121709
2012/3/16	さくらインターネット	3778	東証	株式現物売	--	特定	申告	300	605	129	6	2012/3/22	181365
2012/3/16	さくらインターネット	3778	東証	株式現物売	--	特定	申告	100	610	43	2	2012/3/22	60955
2012/3/16	さくらインターネット	3778	東証	株式現物売	--	特定	申告	500	604	218	12	2012/3/22	301770
2012/3/16	ニプロ	8086	東証	株式現物売	--	特定	申告	1500	625	609	30	2012/3/22	936861
2012/3/16	日本郵船	9101	東証	株式現物売	--	特定	申告	9000	263	1152	57	2012/3/22	2365791
2012/3/16	ステツプ	9795	東証	株式現物買	--	特定	--	800	529	488	25	2012/3/22	423713
2012/3/16	ステツプ	9795	東証	株式現物買	--	特定	--	200	528	121	5	2012/3/22	105726
2012/3/19	ＮＥＸＴ　ＦＵＮＤＳインド株式指数Ｓ＆Ｐ　ＣＮＸ　Ｎｉｆｔｙ	1678	東証	株式現物売	--	特定	申告	10000	85	609	30	2012/3/23	849361
2012/3/19	アドバンスト・メディア	3773	東証	株式現物売	--	特定	申告	1	39700	31	1	2012/3/23	39668
2012/3/19	アドバンスト・メディア	3773	東証	株式現物売	--	特定	申告	1	39850	32	1	2012/3/23	39817
2012/3/19	アドバンスト・メディア	3773	東証	株式現物売	--	特定	申告	9	39800	290	16	2012/3/23	357894
2012/3/19	アドバンスト・メディア	3773	東証	株式現物売	--	特定	申告	2	40000	64	3	2012/3/23	79933
2012/3/19	アドバンスト・メディア	3773	東証	株式現物売	--	特定	申告	6	39900	192	9	2012/3/23	239199
2012/3/19	ファナック	6954	PTS	株式現物買	--	特定	--	100	15550	324	16	2012/3/23	1555340
2012/3/19	日本郵船	9101	東証	株式現物買	--	特定	--	4000	269	728	36	2012/3/23	1076764
2012/3/19	ステツプ	9795	東証	株式現物買	--	特定	--	100	530	139	6	2012/3/23	53145
2012/3/21	ファナック	6954	PTS	株式現物売	--	特定	申告	100	15261	324	16	2012/3/26	1525760
2012/3/21	ステツプ	9795	東証	株式現物買	--	特定	--	100	543	23	1	2012/3/26	54324
